Credit Score,City,Credit Balance,Checking Account Number,PIN,Zip,Checking Balance,Last Name,Address,First Name,Credit Limit,Savings Balance,Phone Number,ID,State,Savings Account Number,Date of Birth,Credit Account Number
463,El Paso,20.27,1000960,2795,79999,1822.58,Morales,101 Random Rd.,Ashley,200,21742.16,(915) 123-4567,960,TX,2000960,8/6/11,3000960
464,El Paso,87.47,1000280,5850,79999,1910.28,Sullivan,101 Random Rd.,Gregory,300,23952.46,(915) 123-4567,280,TX,2000280,5/14/06,3000280
638,El Paso,38.04,1000051,5707,79968,1675.85,Garcia,500 W. University Ave.,Erick,3800,21786.02,(915) 747-5000,51,TX,2000051,2/16/11,3000051
420,El Paso,0.11,1000054,8241,79968,2253.53,Leyva,500 W. University Ave.,Geber,200,19079.29,(915) 747-5000,54,TX,2000054,5/11/41,3000054
811,El Paso,3381.9,1000139,8844,79999,2358.44,Romero,101 Random Rd.,Ashley,16100,23333.43,(915) 123-4567,139,TX,2000139,5/4/36,3000139
579,El Paso,23.03,1000820,4845,79999,2008.11,Carlson,101 Random Rd.,Felicia,100,22249.93,(915) 123-4567,820,TX,2000820,1/25/88,3000820
793,El Paso,3080.56,1000067,6914,79968,1969.17,Olmos,500 W. University Ave.,Arturo,14000,24648.35,(915) 747-5000,67,TX,2000067,12/17/38,3000067
662,El Paso,338.84,1000461,2687,79999,2161.85,Larson,101 Random Rd.,Kevin,1300,19276.79,(915) 123-4567,461,TX,2000461,5/27/86,3000461
741,El Paso,2226.63,1000761,2875,79999,2249.21,Fox,101 Random Rd.,Sara,10600,14630.53,(915) 123-4567,761,TX,2000761,7/5/80,3000761
456,El Paso,48.07,1000394,7347,79999,1824.15,Ellis,101 Random Rd.,Keith,400,20158.71,(915) 123-4567,394,TX,2000394,9/30/81,3000394
498,El Paso,3.22,1000463,7819,79999,2424.25,Miller,101 Random Rd.,Gary,300,20675.44,(915) 123-4567,463,TX,2000463,7/7/62,3000463
316,El Paso,120.57,1000368,8171,79999,1768.77,Bennett,101 Random Rd.,Carrie,500,19990.97,(915) 123-4567,368,TX,2000368,3/28/32,3000368
403,El Paso,150.99,1000370,4819,79999,1736.9,Joseph,101 Random Rd.,Angel,600,18237.12,(915) 123-4567,370,TX,2000370,4/24/77,3000370
728,El Paso,855.21,1000950,8440,79999,1558.73,Mcdonald,101 Random Rd.,Katherine,5700,19555.31,(915) 123-4567,950,TX,2000950,2/4/13,3000950
404,El Paso,12,1000837,7503,79999,1620.67,White,101 Random Rd.,Victoria,400,24530.9,(915) 123-4567,837,TX,2000837,4/5/85,3000837
323,El Paso,80.24,1001025,3493,79999,2158.58,Wagner,101 Random Rd.,Timothy,400,16975.55,(915) 123-4567,1025,TX,2001025,4/11/55,3001025
491,El Paso,120.21,1000871,3199,79999,1606.87,Robinson,101 Random Rd.,Joseph,400,20175.45,(915) 123-4567,871,TX,2000871,7/3/46,3000871
547,El Paso,5.86,1000943,8110,79999,1834.39,Conley,101 Random Rd.,Amber,500,3832.11,(915) 123-4567,943,TX,2000943,11/11/47,3000943
698,El Paso,1530.11,1000381,5760,79999,1529.3,Meadows,101 Random Rd.,Joshua,5100,13738.91,(915) 123-4567,381,TX,2000381,9/5/29,3000381
458,El Paso,27.98,1000183,9122,79999,1615.67,Richardson,101 Random Rd.,Emily,300,4292.32,(915) 123-4567,183,TX,2000183,2/22/48,3000183
742,El Paso,920.06,1000473,2598,79999,1525.37,Mcintyre,101 Random Rd.,Angela,11500,19272.46,(915) 123-4567,473,TX,2000473,11/9/67,3000473
798,El Paso,3500.55,1000266,6607,79999,2087.76,Hunter,101 Random Rd.,William,14000,6867.82,(915) 123-4567,266,TX,2000266,5/10/83,3000266
570,El Paso,110.1,1000385,4831,79999,1783.31,Williams,101 Random Rd.,Jacob,500,5343.01,(915) 123-4567,385,TX,2000385,10/19/86,3000385
615,El Paso,98.82,1000451,1946,79999,2198.31,Hampton,101 Random Rd.,Jerry,700,23623.24,(915) 123-4567,451,TX,2000451,3/30/46,3000451
834,El Paso,4664.43,1000946,4404,79999,2159.76,Frye,101 Random Rd.,Ashley,21200,9841.35,(915) 123-4567,946,TX,2000946,4/17/74,3000946
745,El Paso,2697.66,1000216,3749,79999,2407.05,Miller,101 Random Rd.,Chase,9300,2232.15,(915) 123-4567,216,TX,2000216,10/15/89,3000216
314,El Paso,28.39,1000367,2269,79999,2429.49,Foster,101 Random Rd.,Christopher,100,18550.01,(915) 123-4567,367,TX,2000367,1/8/79,3000367
320,El Paso,84.11,1000478,2788,79999,1553.98,Lambert,101 Random Rd.,Wesley,400,11408.28,(915) 123-4567,478,TX,2000478,4/1/38,3000478
823,El Paso,690.56,1000558,6483,79999,2197.07,Gonzales,101 Random Rd.,Bobby,23000,11097.61,(915) 123-4567,558,TX,2000558,2/19/11,3000558
594,El Paso,480.99,1000888,3297,79999,2112.48,Huerta,101 Random Rd.,Jorge,2000,22186.79,(915) 123-4567,888,TX,2000888,9/15/85,3000888
757,El Paso,1500,1000252,9825,79999,2162.18,Robertson,101 Random Rd.,Barbara,15000,10056.26,(915) 123-4567,252,TX,2000252,6/4/42,3000252
568,El Paso,35.37,1001019,2325,79999,2087.9,Elliott,101 Random Rd.,Tonya,500,22082.88,(915) 123-4567,1019,TX,2001019,5/26/64,3001019
800,El Paso,2629.98,1000246,5125,79999,1529.15,Gross,101 Random Rd.,David,23900,3185.63,(915) 123-4567,246,TX,2000246,2/14/74,3000246
583,El Paso,720.97,1000443,1835,79999,1614.44,Davila,101 Random Rd.,David,4800,19512.46,(915) 123-4567,443,TX,2000443,9/22/77,3000443
517,El Paso,30.64,1000515,2889,79999,1969.1,Bennett,101 Random Rd.,Bobby,600,4269.33,(915) 123-4567,515,TX,2000515,2/2/14,3000515
653,El Paso,14.48,1000386,1564,79999,2270.08,Cummings,101 Random Rd.,Michele,700,8326.04,(915) 123-4567,386,TX,2000386,4/25/39,3000386
660,El Paso,440.03,1000347,3779,79999,1922.44,Wheeler,101 Random Rd.,Christina,4000,7337.48,(915) 123-4567,347,TX,2000347,6/17/39,3000347
748,El Paso,1680.49,1000261,7698,79999,2126.15,Walters,101 Random Rd.,Leroy,8000,24240.35,(915) 123-4567,261,TX,2000261,3/7/71,3000261
513,El Paso,102.44,1000128,2259,79999,2361.55,Hodges,101 Random Rd.,Kyle,600,5952.89,(915) 123-4567,128,TX,2000128,1/15/79,3000128
643,El Paso,182.74,1000723,3233,79999,2117.25,Jordan,101 Random Rd.,Kelly,700,890.07,(915) 123-4567,723,TX,2000723,5/24/59,3000723
415,El Paso,20.21,1000374,2698,79999,2110.86,Williamson,101 Random Rd.,Jeremiah,500,19678.06,(915) 123-4567,374,TX,2000374,6/15/55,3000374
406,El Paso,44.77,1000197,3511,79999,2252.02,Howell,101 Random Rd.,Samantha,200,11099.3,(915) 123-4567,197,TX,2000197,11/30/59,3000197
359,El Paso,174.52,1000400,1641,79999,1990.73,Castillo,101 Random Rd.,Michael,600,18382.56,(915) 123-4567,400,TX,2000400,7/22/78,3000400
814,El Paso,2464.11,1000456,3694,79999,2475.87,Young,101 Random Rd.,Trevor,17600,679.79,(915) 123-4567,456,TX,2000456,8/20/59,3000456
712,El Paso,980.5,1000777,7309,79999,2013.62,Brown,101 Random Rd.,Craig,7000,24691.94,(915) 123-4567,777,TX,2000777,3/4/88,3000777
341,El Paso,88.51,1000726,7131,79999,2448.68,Thompson,101 Random Rd.,Nathan,400,15703.38,(915) 123-4567,726,TX,2000726,3/3/62,3000726
665,El Paso,288.18,1000771,6914,79999,1893.8,Black,101 Random Rd.,Alexis,1600,6383.91,(915) 123-4567,771,TX,2000771,3/12/07,3000771
383,El Paso,85.61,1000841,1568,79999,1761.02,Miller,101 Random Rd.,Dana,500,15651.38,(915) 123-4567,841,TX,2000841,10/6/63,3000841
572,El Paso,25.49,1000727,5505,79999,1664.55,Adkins,101 Random Rd.,William,500,21448.97,(915) 123-4567,727,TX,2000727,12/9/52,3000727
805,El Paso,3135.48,1000301,9471,79999,2055.93,Dominguez,101 Random Rd.,Lance,16500,5234.88,(915) 123-4567,301,TX,2000301,11/19/69,3000301
599,El Paso,190.99,1000758,5728,79999,1915.05,Carr,101 Random Rd.,Jennifer,1000,5709.9,(915) 123-4567,758,TX,2000758,10/25/05,3000758
365,El Paso,105.25,1000194,5330,79999,1921.82,Anderson,101 Random Rd.,Nicholas,500,17543.14,(915) 123-4567,194,TX,2000194,4/26/53,3000194
555,El Paso,108.92,1000083,8418,79968,1860.54,Venegas,500 W. University Ave.,Javier,600,20532.5,(915) 747-5000,83,TX,2000083,3/8/03,3000083
816,El Paso,3024.9,1000501,6788,79999,1626,Boone,101 Random Rd.,Louis,21600,21119.88,(915) 123-4567,501,TX,2000501,9/4/18,3000501
761,El Paso,2997.6,1000390,3278,79999,1960.25,Freeman,101 Random Rd.,Norman,11100,6792.86,(915) 123-4567,390,TX,2000390,3/16/58,3000390
554,El Paso,0.38,1000763,7291,79999,1891.03,Flores,101 Random Rd.,Michael,200,16888.47,(915) 123-4567,763,TX,2000763,8/20/53,3000763
573,El Paso,92.36,1000052,2772,79968,2198.31,Garcia,500 W. University Ave.,Johnatan,400,14679.02,(915) 747-5000,52,TX,2000052,2/9/81,3000052
804,El Paso,1701.51,1000833,2158,79999,2437.09,Stanton,101 Random Rd.,Sarah,24300,6640.73,(915) 123-4567,833,TX,2000833,10/11/30,3000833
445,El Paso,100.5,1000349,9972,79999,1999.9,Hunt,101 Random Rd.,Deborah,400,9943.18,(915) 123-4567,349,TX,2000349,3/30/89,3000349
760,El Paso,1380.77,1000303,1237,79999,2453.79,Page,101 Random Rd.,Gloria,13800,10688.48,(915) 123-4567,303,TX,2000303,4/26/88,3000303
318,El Paso,70.28,1000229,3886,79999,1815.06,Avery,101 Random Rd.,Shannon,500,12133.49,(915) 123-4567,229,TX,2000229,11/29/78,3000229
600,El Paso,540,1000680,7504,79999,2500.84,Rodriguez,101 Random Rd.,Linda,2000,22262.2,(915) 123-4567,680,TX,2000680,7/29/00,3000680
433,El Paso,48.69,1000526,2469,79999,1981.3,Melendez,101 Random Rd.,Christopher,400,647.4,(915) 123-4567,526,TX,2000526,3/29/02,3000526
747,El Paso,1460.65,1000780,7733,79999,1854.25,Rivera,101 Random Rd.,Michelle,14600,7961.74,(915) 123-4567,780,TX,2000780,11/16/60,3000780
340,El Paso,25.83,1000283,2957,79999,1644.71,Romero,101 Random Rd.,Daniel,500,17081.84,(915) 123-4567,283,TX,2000283,9/19/15,3000283
775,El Paso,1092.34,1000958,8293,79999,1915.48,Cook,101 Random Rd.,Alexandra,9100,1609,(915) 123-4567,958,TX,2000958,1/10/72,3000958
770,El Paso,1490.56,1000212,4577,79999,1744.95,Burke,101 Random Rd.,Lee,14900,1461.43,(915) 123-4567,212,TX,2000212,3/19/38,3000212
484,El Paso,126.58,1000822,1862,79999,2115.49,Turner,101 Random Rd.,Tanya,600,9554.87,(915) 123-4567,822,TX,2000822,4/4/21,3000822
469,El Paso,51.71,1000316,2230,79999,2313.68,Douglas,101 Random Rd.,Brenda,300,12718.17,(915) 123-4567,316,TX,2000316,10/16/94,3000316
322,El Paso,72.77,1000039,2992,79968,2345.18,Chavez,500 W. University Ave.,Lorelyne,400,9905.71,(915) 747-5000,39,TX,2000039,7/4/29,3000039
393,El Paso,30.42,1001007,5858,79999,2090.41,Williams,101 Random Rd.,Laura,600,3008.19,(915) 123-4567,1007,TX,2001007,3/4/02,3001007
763,El Paso,2015.65,1000040,3840,79968,1788.29,Retana,500 W. University Ave.,Efrain,15500,12185.79,(915) 747-5000,40,TX,2000040,12/11/80,3000040
829,El Paso,6293.29,1000559,7814,79999,2317.48,Mitchell,101 Random Rd.,Jake,21700,11132.29,(915) 123-4567,559,TX,2000559,5/31/71,3000559
761,El Paso,202.05,1000865,1808,79999,2338.91,Sanchez,101 Random Rd.,Jody,10100,6016.43,(915) 123-4567,865,TX,2000865,1/16/14,3000865
654,El Paso,192.14,1000180,5884,79999,1579.17,Smith,101 Random Rd.,Michael,1600,2553.12,(915) 123-4567,180,TX,2000180,3/26/35,3000180
623,El Paso,375.99,1000873,6875,79999,2446.72,Durham,101 Random Rd.,Sonia,1500,23265.34,(915) 123-4567,873,TX,2000873,1/29/89,3000873
